valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.784,2018,0.554,['Ozuna'],0.744,188907,0.769,0,5uvucCRBTkxv7VxIDLOqe7,6.96E-06,11,0.102,-4.112,1,Devuelveme,67,24/08/2018,0.156,175.999
0.283,2018,0.404,"['Mikel', 'GameChops']",0.671,164267,0.525,0,7fD72waADOZymEpuQfbiDE,0.924,2,0.0917,-10.768,0,Fairy Fountain,60,14/09/2018,0.0506,78.012
0.164,2018,0.0482,"['Upchurch', 'Bottleneck']",0.739,191489,0.781,1,1gQf9pbGGzVkph7BUfwi6X,0,2,0.156,-4.584,1,Turn up the Night,56,30/01/2018,0.0449,93.981
0.169,2018,0.281,['RINI'],0.62,301448,0.265,0,3LRbalLzZcuvSR6jVnqclh,1.02E-05,9,0.114,-10.409,0,Meet Me in Amsterdam,63,31/10/2018,0.0345,106.022
0.448,2018,0.023,"['nothing,nowhere.', 'Travis Barker']",0.703,185333,0.825,1,0O3XBUm7f9qsY1xt0bzU0X,1.28E-06,7,0.0786,-5.789,1,Hammer - Travis Barker Remix,59,30/11/2018,0.0463,89.991
0.306,2018,0.00457,"['KIDS SEE GHOSTS', 'Ty Dolla $ign']",0.334,206605,0.81,1,7GRTrWsP3yo2Fx8umJfA1X,0,9,0.158,-4.855,0,Freeee (Ghost Town Pt. 2),60,08/06/2018,0.0632,151.643
0.965,2018,0.37,['Natanael Cano'],0.765,125412,0.539,0,3TgelNfEK1DnYrsHOBxaVJ,0,11,0.039,-5.028,0,El De Los Lentes Gucci,63,10/07/2018,0.0437,99.94
0.164,2018,0.367,['Camila Cabello'],0.545,236360,0.458,0,7IL3UOlcJ6nmcCMwpnlfcA,0,5,0.118,-4.6,0,Something's Gotta Give,65,12/01/2018,0.0279,79.943
0.584,2018,0.0271,['Playboi Carti'],0.716,135547,0.619,1,0syXbGoFZbTMXm8hGCEvW0,0,2,0.342,-10.227,1,Old Money,59,11/05/2018,0.339,162.958
0.108,2018,0.0503,"['Phora', '6LACK']",0.6,238232,0.484,1,0KRkgRkBa1fA4vJl8PMOTf,0,1,0.0995,-8.838,1,Stuck in My Ways (feat. 6LACK),58,05/10/2018,0.145,121.209
0.734,2018,0.213,['Mick Jenkins'],0.677,208571,0.843,1,0TUK4LKkHVHdsLwscQckX6,7.02E-06,9,0.554,-5.354,1,Understood,59,26/10/2018,0.324,84.993
0.619,2018,0.00331,['DaBaby'],0.915,137947,0.511,1,2Yp9qysxGcSZocXOiv3hYs,0,6,0.0752,-7.482,0,Today - Intro,57,01/06/2018,0.323,140.036
0.353,2018,0.0241,"['TWRP', 'Dan Avidan']",0.521,328707,0.663,0,2HVie6QZfnDS2HVQiGZwU6,0,5,0.0395,-8.05,0,Starlight Brigade,59,18/05/2018,0.0508,127.997
0.584,2018,0.212,['ITSOKTOCRY'],0.985,138715,0.438,1,5N6USyYyAuSyysUQ1xncYc,5.41E-05,1,0.116,-11.004,1,"POP, LOCK & DROPDEAD",60,18/03/2018,0.0712,118.079
0.0397,2018,0.696,['Antologie'],0.12,184642,0.0585,0,1aa3A3F6b5FZFtXAhtrybK,0.939,3,0.11,-27.623,1,Time Travel,63,14/12/2018,0.0383,78.662
0.442,2018,0.0223,['WOODZ'],0.628,222769,0.811,0,5Y7a8iWIawp1QTbevGeH1V,0,4,0.0797,-4.26,1,DIFFERENT,63,21/07/2018,0.0338,124.066
0.373,2018,0.483,"['Halsey', 'ILLENIUM']",0.639,248906,0.71,1,4bw3ZyWA1ui0Adu285NWDl,2.22E-06,6,0.219,-3.358,1,Without Me - ILLENIUM Remix,61,30/11/2018,0.0479,136.004
0.188,2018,0.0117,"['Lil Baby', 'Gunna']",0.793,192382,0.447,1,2Z9wPJaKys1LAOlcBtjvOU,0.00019,7,0.109,-9.253,1,Throwing Shade,58,18/05/2018,0.151,139.949
0.471,2018,0.0317,"['CNCO', 'Yandel']",0.798,206920,0.809,0,1XgpK29CGGjZnxPYkiRbh4,0,5,0.214,-6.152,1,Hey DJ,69,06/04/2018,0.0839,90.006
0.833,2018,0.0149,['MOMOLAND'],0.785,208863,0.744,0,3BPoSr2pO34Aan6alFfVto,0.00666,3,0.0661,-4.249,0,BBoom BBoom,68,03/01/2018,0.0369,126.018
0.22,2018,0.0263,"['Lil Wayne', 'Sosamann']",0.785,216961,0.44,1,3JX0dOCIAiaR8MP3ryXWuM,2.03E-06,10,0.122,-6.566,1,What About Me (feat. Sosamann),58,28/09/2018,0.0401,118.089
0.784,2018,0.048,"['Sebastian Yatra', 'Mau y Ricky']",0.632,198933,0.832,0,7uQmJ1jgNzBpATSoWKSPFu,0,7,0.0705,-1.948,0,Ya No Tiene Novio,71,10/08/2018,0.154,182.184
0.358,2018,0.171,"['Fatboibari', 'dhan']",0.645,99474,0.272,0,2icVMtiC4OalZXYJTnynlu,0,8,0.337,-17.213,1,Chill Calling,59,16/11/2018,0.343,110.479
